venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,Differentiable Mapper for Topological Optimization of Data Representation.,Ziyad Oulhaj; Mathieu Carrière; Bertrand Michel,,0,https://openreview.net/forum?id=QZ1DVzr6N9,
icml,2024,conf/icml/icml2024,,ExCP: Extreme LLM Checkpoint Compression via Weight-Momentum Joint Shrinking.,Wenshuo Li; Xinghao Chen; Han Shu; Yehui Tang; Yunhe Wang,,0,https://openreview.net/forum?id=hlvKd7Vdxm,
icml,2024,conf/icml/icml2024,,Towards Optimal Adversarial Robust Q-learning with Bellman Infinity-error.,Haoran Li; Zicheng Zhang; Wang Luo; Congying Han; Yudong Hu; Tiande Guo; Shichen Liao,,0,https://openreview.net/forum?id=pgI9inG2Ny,
icml,2024,conf/icml/icml2024,,"Pruned Pivot: Correlation Clustering Algorithm for Dynamic, Parallel, and Local Computation Models.",Mina Dalirrooyfard; Konstantin Makarychev; Slobodan Mitrovic,,0,https://openreview.net/forum?id=saP7s0ZgYE,
icml,2024,conf/icml/icml2024,,MLLM-as-a-Judge: Assessing Multimodal LLM-as-a-Judge with Vision-Language Benchmark.,Dongping Chen; Ruoxi Chen; Shilin Zhang; Yaochen Wang; Yinuo Liu; Huichi Zhou; Qihui Zhang; Yao Wan; Pan Zhou; Lichao Sun,,0,https://openreview.net/forum?id=dbFEFHAD79,
icml,2024,conf/icml/icml2024,,CompeteAI: Understanding the Competition Dynamics of Large Language Model-based Agents.,Qinlin Zhao; Jindong Wang; Yixuan Zhang; Yiqiao Jin; Kaijie Zhu; Hao Chen; Xing Xie,,0,https://openreview.net/forum?id=wGtzp4ZT1n,
icml,2024,conf/icml/icml2024,,Robustness of Nonlinear Representation Learning.,Simon Buchholz; Bernhard Schölkopf,,0,https://openreview.net/forum?id=GyV33H5Uuk,
icml,2024,conf/icml/icml2024,,SΩI: Score-based O-INFORMATION Estimation.,Mustapha Bounoua; Giulio Franzese; Pietro Michiardi,,0,https://openreview.net/forum?id=LuhWZ2oJ5L,
icml,2024,conf/icml/icml2024,,Rate-Optimal Policy Optimization for Linear Markov Decision Processes.,Uri Sherman; Alon Cohen; Tomer Koren; Yishay Mansour,,0,https://openreview.net/forum?id=VJwsDwuiuH,
icml,2024,conf/icml/icml2024,,SAM as the Guide: Mastering Pseudo-Label Refinement in Semi-Supervised Referring Expression Segmentation.,Danni Yang; Jiayi Ji; Yiwei Ma; Tianyu Guo; Haowei Wang; Xiaoshuai Sun; Rongrong Ji,,0,https://openreview.net/forum?id=M5kn9NKIs4,
icml,2024,conf/icml/icml2024,,Position: Near to Mid-term Risks and Opportunities of Open-Source Generative AI.,Francisco Eiras; Aleksandar Petrov; Bertie Vidgen; Christian Schröder de Witt; Fabio Pizzati; Katherine Elkins; Supratik Mukhopadhyay; Adel Bibi; Botos Csaba; Fabro Steibel; Fazl Barez; Genevieve Smith; Gianluca Guadagni; Jon Chun; Jordi Cabot; Joseph Marvin Imperial; Juan A. Nolazco-Flores; Lori Landay; Matthew Thomas Jackson; Paul Röttger; Philip H. S. Torr; Trevor Darrell; Yong Suk Lee; Jakob N. Foerster,,0,https://openreview.net/forum?id=8q4EPdjTLE,
icml,2024,conf/icml/icml2024,,Repoformer: Selective Retrieval for Repository-Level Code Completion.,Di Wu; Wasi Uddin Ahmad; Dejiao Zhang; Murali Krishna Ramanathan; Xiaofei Ma,,0,https://openreview.net/forum?id=moyG54Okrj,
icml,2024,conf/icml/icml2024,,Scaling Rectified Flow Transformers for High-Resolution Image Synthesis.,Patrick Esser; Sumith Kulal; Andreas Blattmann; Rahim Entezari; Jonas Müller; Harry Saini; Yam Levi; Dominik Lorenz; Axel Sauer; Frederic Boesel; Dustin Podell; Tim Dockhorn; Zion English; Robin Rombach,,0,https://openreview.net/forum?id=FPnUhsQJ5B,
